num_words_facts,num_words_ratio,num_words_total
52,101,153
86,122,208
104,113,217
99,167,266
121,89,210
83,151,234
152,179,331
107,143,250
87,92,179
116,88,204
107,105,212
173,117,290
101,194,295
87,138,225
118,147,265
192,156,348
75,161,236
133,163,296
88,76,164
127,85,212
93,111,204
150,99,249
67,132,199
182,148,330
81,119,200
142,156,298
100,82,182
127,136,263
66,80,146
108,98,206
130,168,298
107,136,243
81,148,229
148,187,335
103,92,195
132,66,198
127,131,258
99,99,198
156,133,289
105,81,186
87,84,171
98,78,176
167,134,301
136,101,237
158,117,275
88,94,182
120,154,274
103,165,268
98,94,192
171,89,260
33,34,67
50,52,102
57,39,96
38,56,94
33,65,98
38,45,83
30,43,73
35,40,75
33,50,83
44,36,80
45,49,94
39,59,98
41,75,116
51,41,92
49,58,107
40,39,79
41,41,82
39,45,84
27,51,78
54,44,98
54,42,96
52,55,107
38,50,88
33,41,74
42,54,96
36,54,90
41,41,82
42,41,83
41,44,85
55,40,95
37,43,80
33,36,69
32,42,74
44,40,84
38,41,79
31,70,101
58,52,110
34,11,45
49,41,90
42,36,78
39,35,74
43,42,85
34,42,76
28,36,64
40,39,79
41,52,93
46,52,98
34,40,74
33,47,80
43,43,86
